Partition,Ref1UngappedPos,Ref2UngappedPos,AlnGappedPos
5primeRUBBISH,1-55,,
5primeUTR,56-265,1-265,1-354
ORF1a,266-13468,266-13468,355-13557
ORF1b,13469-21555,13469-21555,13558-21644
Spike,21563-25384,21563-25384,21652-25473
ORF3a,25393-26220,25393-26220,25482-26309
Envelope,26245-26472,26245-26472,26334-26561
Membrane,26523-27191,26523-27191,26612-27280
ORF6,27202-27387,27202-27387,27291-27476
ORF7a,27394-27759,27394-27759,27483-27848
ORF7b,27756-27887,
ORF8,27894-28259,27894-28259,27983-28348
Nucleocapsid,28274-29533,28274-29533,28363-29622
ORF10,29558-29674,29558-29674,29647-29763
3primeUTR,29675-29803,,
3primeRUBBISH,29804-29870,,
IGR,,
