Partition,Ref1UngappedPos,Ref2UngappedPos,AlnGappedPos
nsp1,1-180,1-180,355-894
nsp2,181-818,181-818,895-2808
PLprotease,819-2740,819-2763,2809-8643
nsp4,2741-3240,2764-3263,8644-10143
3CLprotease,3241-3546,3264-3569,10144-11061
nsp6,3547-3836,3570-3859,11062-11931
nsp7,3837-3919,3860-3942,11932-12180
nsp8,3920-4117,3943-4140,12181-12774
nsp9,4118-4230,4141-4253,12775-13113
nsp10,4231-4369,4254-4392,13114-13530
Rdrp,4370-5301,4393-5324,13531-16325
Helicase,5302-5902,5325-5925,16326-18128
N7methyltransferase,5903-6429,5926-6452,18129-19709
endoribonuclease,6430-6775,6453-6798,19710-20747
2Omethyltransferase,6776-7073,6799-7096,20748-21641
